ApplicationID,Name,StartDate,RaceDate,Status,2LetterCode,ZipCode,Value,RaceDirectorUserID,Website,RegistrationWebsite,Email,CreatedDate
350975-Adult Race,Soaring Eagle Duathlon,2025-09-07,2025-09-07,PENDING,WA,98075,Adult Race,,https://www.sammamishrunning.com/,https://www.sammamishrunning.com/tri,,2025-06-20
350969-Adult Race,Newcastle Beach Triathlon,2025-08-03,2025-08-03,APPROVED,WA,98006,Adult Race,,https://www.sammamishrunning.com/tri,https://www.sammamishrunning.com,,2025-06-19
350967,Beaver Mile Swim 4.3 mile Run,2025-07-27,2025-07-27,PENDING,WA,98075,missing_event_type_race_designation,,https://www.sammamishrunning.com/tri,https://www.sammamishrunning.com/,,2025-06-19
350964,Double Dash,2025-08-09,2025-08-09,PENDING,MS,39110,missing_event_type_race_designation,,https://www.trisignup.com/Race/MS/Madison/DoubleDash,https://www.trisignup.com/Race/MS/Madison/DoubleDash,,2025-06-19
350961,Brick House Kids Tri,2025-10-19,2025-10-19,PENDING,TX,77868,missing_event_type_race_designation,,https://www.trisignup.com/Race/TX/Navasota/BrickHouseOffRoadTriathlon,https://www.trisignup.com/Race/TX/Navasota/BrickHouseOffRoadTriathlon,,2025-06-19
350951,Brick House  Multi-Sport Festival,2025-10-19,2025-10-19,PENDING,TX,77868,missing_event_type_race_designation,,https://www.trisignup.com/Race/TX/Navasota/BrickHouseOffRoadTriathlon,https://www.trisignup.com/Race/TX/Navasota/BrickHouseOffRoadTriathlon,,2025-06-18
350911,Ho`ala Training Swim,2025-10-05,2025-10-05,PENDING,HI,96740,missing_event_type_race_designation,,https://www.ironman.com/races/im-world-championship-kona/kona-community/events#training-swim,,,2025-06-18
350906,IRONKiDS KEIKI DIP-N-DASH,2025-10-07,2025-10-07,PENDING,HI,96740,missing_event_type_race_designation,,https://www.ironman.com/races/im-world-championship-kona/kona-community/events#kids-keiki-dipndash,,,2025-06-18
350891,MTC Triathlon Clinic,2025-07-06,,PENDING,IL,62236,missing_event_type_race_designation,,https://runsignup.com/Race/IL/Columbia/MTCZillaTri,,,2025-06-17
350893,Holy City Endurance Camp,2025-07-04,,PENDING,NC,28604,missing_event_type_race_designation,,https://holycityendurance.com/2025-holy-city-endurance-triathlon-run-camp/,https://holycityendurance.com/2025-holy-city-endurance-triathlon-run-camp/,,2025-06-17
350873,Captain Kids Triathlon,2025-09-05,2025-09-07,PENDING,TX,77554,missing_event_type_race_designation,,https://runsignup.com/Race/TX/Galveston/CaptainKidsTri,https://runsignup.com/Race/TX/Galveston/CaptainKidsTri,,2025-06-16
350873,Captain Kids Triathlon,2025-09-05,2025-09-05,PENDING,TX,77554,missing_event_type_race_designation,,https://runsignup.com/Race/TX/Galveston/CaptainKidsTri,https://runsignup.com/Race/TX/Galveston/CaptainKidsTri,,2025-06-16
